Reference:  33 apertures in PRDOPSSOC-045-003
Comparison: 33 apertures in pre_delivery

Number of modified apertures 32. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
FGS2_SUB8LL                         V3Ref             -768.8722           -768.688615        0.183585     0.0239
FGS2_SUB8LL                   V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203
FGS2_SUB8LL                   V3SciXAngle          -91.50170446          -91.40050071        0.101204     0.1106
FGS2_SUB8LL                   V3SciYAngle            0.97319241            1.07439617        0.101204     9.4196

FGS2_SUB8DIAG                       V2Ref            -10.110791            -10.181332        0.070541     0.6928
FGS2_SUB8DIAG                       V3Ref           -733.792593           -733.668329        0.124264     0.0169
FGS2_SUB8DIAG                 V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203
FGS2_SUB8DIAG                 V3SciXAngle          -91.13309198          -91.03188822        0.101204     0.1111
FGS2_SUB8DIAG                 V3SciYAngle             0.5720244            0.67322816        0.101204    15.0326

FGS2_SUB8CNTR                       V2Ref                22.845                22.835        0.010000     0.0438
FGS2_SUB8CNTR                       V3Ref              -699.489              -699.423        0.066000     0.0094
FGS2_SUB8CNTR                 V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203
FGS2_SUB8CNTR                 V3SciXAngle          -90.79186652          -90.69066276        0.101204     0.1115
FGS2_SUB8CNTR                 V3SciYAngle            0.19027904             0.2914828        0.101204    34.7203

FGS1_FP1MIMF                        V2Ref            207.295989            207.238641        0.057348     0.0277
FGS1_FP1MIMF                        V3Ref           -700.039435           -699.834575        0.204860     0.0293
FGS1_FP1MIMF                  V3IdlYAngle           -1.25081713           -1.24120427        0.009613     0.7685

FGS1_FP2MIMF                        V2Ref             144.48572            144.417808        0.067912     0.0470
FGS1_FP2MIMF                        V3Ref           -763.012138           -762.796738        0.215400     0.0282
FGS1_FP2MIMF                  V3IdlYAngle           -1.25081713           -1.24120427        0.009613     0.7685

FGS1_FP3MIMF                        V2Ref            259.852757            259.788834        0.063923     0.0246
FGS1_FP3MIMF                        V3Ref           -739.226953           -739.030909        0.196044     0.0265
FGS1_FP3MIMF                  V3IdlYAngle           -1.25081713           -1.24120427        0.009613     0.7685

FGS1_FP4MIMF                        V2Ref            269.119519            269.073293        0.046226     0.0172
FGS1_FP4MIMF                        V3Ref           -633.748433           -633.553946        0.194487     0.0307
FGS1_FP4MIMF                  V3IdlYAngle           -1.25081713           -1.24120427        0.009613     0.7685

FGS1_FP5MIMF                        V2Ref            142.147912            142.101563        0.046349     0.0326
FGS1_FP5MIMF                        V3Ref           -634.487457           -634.271667        0.215790     0.0340
FGS1_FP5MIMF                  V3IdlYAngle           -1.25081713           -1.24120427        0.009613     0.7685

FGS2_FP1MIMF                        V2Ref              23.76287             23.753815        0.009055     0.0381
FGS2_FP1MIMF                        V3Ref           -698.953236           -698.888859        0.064377     0.0092
FGS2_FP1MIMF                  V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203

FGS2_FP2MIMF                        V2Ref             -25.18874            -25.280856        0.092116     0.3644
FGS2_FP2MIMF                        V3Ref           -746.020359           -745.869442        0.150917     0.0202
FGS2_FP2MIMF                  V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203

FGS2_FP3MIMF                        V2Ref             85.683624             85.559285        0.124339     0.1451
FGS2_FP3MIMF                        V3Ref           -764.165813           -764.210706        0.044893     0.0059
FGS2_FP3MIMF                  V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203

FGS2_FP4MIMF                        V2Ref             84.987991              85.09128        0.103289     0.1214
FGS2_FP4MIMF                        V3Ref           -635.296191           -635.340057        0.043866     0.0069
FGS2_FP4MIMF                  V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203

FGS2_FP5MIMF                        V2Ref            -39.609483            -39.508415        0.101068     0.2552
FGS2_FP5MIMF                        V3Ref            -636.66404           -636.487822        0.176218     0.0277
FGS2_FP5MIMF                  V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203

