Reference:  277 apertures in PRDOPSSOC-M-024
Comparison: 277 apertures in pre_delivery

Number of modified apertures 277. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
MIRIFU_1BSLICE01                YIdlVert4                0.1507                0.1406        0.010100     6.7021

MIRIFU_1BSLICE02                XIdlVert1                1.6706                1.6461        0.024500     1.4665
MIRIFU_1BSLICE02                XIdlVert2               -1.6963               -1.6703        0.026000     1.5327
MIRIFU_1BSLICE02                XIdlVert3               -1.6714               -1.6454        0.026000     1.5556
MIRIFU_1BSLICE02                XIdlVert4                1.6968                1.6723        0.024500     1.4439
MIRIFU_1BSLICE02                YIdlVert1                0.3256                0.3222        0.003400     1.0442
MIRIFU_1BSLICE02                YIdlVert2               -0.1506               -0.1469        0.003700     2.4568
MIRIFU_1BSLICE02                YIdlVert3               -0.3267                -0.323        0.003700     1.1325
MIRIFU_1BSLICE02                YIdlVert4                0.1514                 0.148        0.003400     2.2457

MIRIFU_1BSLICE03                XIdlVert1                1.6661                1.6728        0.006700     0.4005
MIRIFU_1BSLICE03                XIdlVert2               -1.6931               -1.6024        0.090700     5.3570
MIRIFU_1BSLICE03                XIdlVert3               -1.6682               -1.5775        0.090700     5.4370
MIRIFU_1BSLICE03                XIdlVert4                1.6923                 1.699        0.006700     0.3943
MIRIFU_1BSLICE03                YIdlVert1                0.3259                0.3269        0.001000     0.3059
MIRIFU_1BSLICE03                YIdlVert2               -0.1509               -0.1381        0.012800     8.4824
MIRIFU_1BSLICE03                YIdlVert3                -0.327               -0.3141        0.012900     3.9450
MIRIFU_1BSLICE03                YIdlVert4                0.1517                0.1527        0.001000     0.6549

MIRIFU_1BSLICE04                XIdlVert1                 1.728                1.6184        0.109600     6.3426
MIRIFU_1BSLICE04                XIdlVert2               -1.6979                -1.629        0.068900     4.0580
MIRIFU_1BSLICE04                XIdlVert3                -1.673               -1.6041        0.068900     4.1184
MIRIFU_1BSLICE04                XIdlVert4                1.7542                1.6446        0.109600     6.2479
MIRIFU_1BSLICE04                YIdlVert1                0.3356                  0.32        0.015600     4.6484
MIRIFU_1BSLICE04                YIdlVert2               -0.1524               -0.1426        0.009800     6.4304
MIRIFU_1BSLICE04                YIdlVert3               -0.3286               -0.3187        0.009900     3.0128
MIRIFU_1BSLICE04                YIdlVert4                0.1614                0.1458        0.015600     9.6654

MIRIFU_1BSLICE05                XIdlVert1                1.7338                1.6622        0.071600     4.1297
MIRIFU_1BSLICE05                XIdlVert2                -1.677               -1.5867        0.090300     5.3846
MIRIFU_1BSLICE05                XIdlVert3               -1.6521               -1.5617        0.090400     5.4718
MIRIFU_1BSLICE05                XIdlVert4                  1.76                1.6884        0.071600     4.0682
MIRIFU_1BSLICE05                YIdlVert1                0.3373                 0.327        0.010300     3.0537
MIRIFU_1BSLICE05                YIdlVert2               -0.1504               -0.1375        0.012900     8.5771
MIRIFU_1BSLICE05                YIdlVert3               -0.3265               -0.3135        0.013000     3.9816
MIRIFU_1BSLICE05                YIdlVert4                0.1631                0.1528        0.010300     6.3151

MIRIFU_1BSLICE06                XIdlVert1                 1.703                 1.596        0.107000     6.2830
MIRIFU_1BSLICE06                XIdlVert2               -1.7001               -1.6194        0.080700     4.7468
MIRIFU_1BSLICE06                XIdlVert3               -1.6752               -1.5945        0.080700     4.8173
MIRIFU_1BSLICE06                XIdlVert4                1.7293                1.6222        0.107100     6.1933
MIRIFU_1BSLICE06                YIdlVert1                0.3338                0.3184        0.015400     4.6135
MIRIFU_1BSLICE06                YIdlVert2               -0.1545               -0.1429        0.011600     7.5081
MIRIFU_1BSLICE06                YIdlVert3               -0.3306                -0.319        0.011600     3.5088
MIRIFU_1BSLICE06                YIdlVert4                0.1596                0.1442        0.015400     9.6491

MIRIFU_1BSLICE07                XIdlVert1                1.7108                1.6131        0.097700     5.7108
MIRIFU_1BSLICE07                XIdlVert2               -1.7038               -1.6366        0.067200     3.9441
MIRIFU_1BSLICE07                XIdlVert3               -1.6789               -1.6117        0.067200     4.0026
MIRIFU_1BSLICE07                XIdlVert4                 1.737                1.6393        0.097700     5.6246
MIRIFU_1BSLICE07                YIdlVert1                0.3357                0.3217        0.014000     4.1704
MIRIFU_1BSLICE07                YIdlVert2               -0.1559               -0.1463        0.009600     6.1578
MIRIFU_1BSLICE07                YIdlVert3               -0.3321               -0.3223        0.009800     2.9509
MIRIFU_1BSLICE07                YIdlVert4                0.1616                0.1474        0.014200     8.7871

MIRIFU_1BSLICE08                XIdlVert1                1.6918                1.5795        0.112300     6.6379
MIRIFU_1BSLICE08                XIdlVert2               -1.7077               -1.6309        0.076800     4.4973
MIRIFU_1BSLICE08                XIdlVert3               -1.6828                -1.606        0.076800     4.5638
MIRIFU_1BSLICE08                XIdlVert4                 1.718                1.6057        0.112300     6.5367
MIRIFU_1BSLICE08                YIdlVert1                0.3339                0.3177        0.016200     4.8518
MIRIFU_1BSLICE08                YIdlVert2               -0.1573               -0.1462        0.011100     7.0566
MIRIFU_1BSLICE08                YIdlVert3               -0.3334               -0.3223        0.011100     3.3293
MIRIFU_1BSLICE08                YIdlVert4                0.1597                0.1434        0.016300    10.2066

MIRIFU_1BSLICE09                XIdlVert1                1.7041                1.5819        0.122200     7.1709
MIRIFU_1BSLICE09                XIdlVert2               -1.7099               -1.6369        0.073000     4.2693
MIRIFU_1BSLICE09                XIdlVert3                -1.685                -1.612        0.073000     4.3323
MIRIFU_1BSLICE09                XIdlVert4                1.7303                 1.608        0.122300     7.0681
MIRIFU_1BSLICE09                YIdlVert1                0.3365                0.3188        0.017700     5.2600
MIRIFU_1BSLICE09                YIdlVert2               -0.1586                -0.148        0.010600     6.6835
MIRIFU_1BSLICE09                YIdlVert3               -0.3347               -0.3241        0.010600     3.1670
MIRIFU_1BSLICE09                YIdlVert4                0.1623                0.1445        0.017800    10.9673

MIRIFU_1BSLICE10                XIdlVert1                1.7016                1.6017        0.099900     5.8709
MIRIFU_1BSLICE10                XIdlVert2               -1.7669               -1.7179        0.049000     2.7732
MIRIFU_1BSLICE10                XIdlVert3               -1.7421                -1.693        0.049100     2.8184
MIRIFU_1BSLICE10                XIdlVert4                1.7278                1.6279        0.099900     5.7819
MIRIFU_1BSLICE10                YIdlVert1                 0.337                0.3225        0.014500     4.3027
MIRIFU_1BSLICE10                YIdlVert2               -0.1677               -0.1606        0.007100     4.2338
MIRIFU_1BSLICE10                YIdlVert3               -0.3439               -0.3367        0.007200     2.0936
MIRIFU_1BSLICE10                YIdlVert4                0.1628                0.1483        0.014500     8.9066

MIRIFU_1BSLICE11                XIdlVert1                1.7171                1.6206        0.096500     5.6199
MIRIFU_1BSLICE11                XIdlVert2               -1.7479               -1.7034        0.044500     2.5459
MIRIFU_1BSLICE11                XIdlVert3                -1.723               -1.6785        0.044500     2.5827
MIRIFU_1BSLICE11                XIdlVert4                1.7433                1.6467        0.096600     5.5412
MIRIFU_1BSLICE11                YIdlVert1                0.3402                0.3261        0.014100     4.1446
MIRIFU_1BSLICE11                YIdlVert2               -0.1658               -0.1593        0.006500     3.9204
MIRIFU_1BSLICE11                YIdlVert3               -0.3419               -0.3354        0.006500     1.9011
MIRIFU_1BSLICE11                YIdlVert4                 0.166                0.1519        0.014100     8.4940

MIRIFU_1BSLICE12                XIdlVert1                1.7284                1.6228        0.105600     6.1097
MIRIFU_1BSLICE12                XIdlVert2               -1.7099               -1.6357        0.074200     4.3394
MIRIFU_1BSLICE12                XIdlVert3                -1.685               -1.6107        0.074300     4.4095
MIRIFU_1BSLICE12                XIdlVert4                1.7546                1.6489        0.105700     6.0242
MIRIFU_1BSLICE12                YIdlVert1                0.3427                0.3272        0.015500     4.5229
MIRIFU_1BSLICE12                YIdlVert2               -0.1611               -0.1503        0.010800     6.7039
MIRIFU_1BSLICE12                YIdlVert3               -0.3373               -0.3263        0.011000     3.2612
MIRIFU_1BSLICE12                YIdlVert4                0.1685                 0.153        0.015500     9.1988

MIRIFU_1BSLICE13                XIdlVert1                1.7291                1.6734        0.055700     3.2213
MIRIFU_1BSLICE13                XIdlVert2               -1.7187               -1.6478        0.070900     4.1252
MIRIFU_1BSLICE13                XIdlVert3               -1.6939               -1.6229        0.071000     4.1915
MIRIFU_1BSLICE13                XIdlVert4                1.7553                1.6996        0.055700     3.1732
MIRIFU_1BSLICE13                YIdlVert1                0.3437                0.3356        0.008100     2.3567
