Reference:  75 apertures in PRDOPSSOC-045-003
Comparison: 75 apertures in pre_delivery

Number of modified apertures 74. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRS1_FULL                           V2Ref             294.05417             293.27474        0.779430     0.2651
NRS1_FULL                           V3Ref           -502.902261           -503.305637        0.403376     0.0801
NRS1_FULL                     V3IdlYAngle          139.15589448           139.2223265        0.066432     0.0477
NRS1_FULL                     V3SciXAngle           48.13380959           48.21199041        0.078181     0.1622
NRS1_FULL                     V3SciYAngle          139.15589448           139.2223265        0.066432     0.0477
NRS1_FULL                       XIdlVert1             -105.6475             -106.2216        0.574100     0.5405
NRS1_FULL                       XIdlVert2              104.1223              104.1427        0.020400     0.0196
NRS1_FULL                       XIdlVert3              106.6594              106.6653        0.005900     0.0055
NRS1_FULL                       XIdlVert4             -107.6165             -108.5058        0.889300     0.8196
NRS1_FULL                       YIdlVert1             -104.9059             -104.8357        0.070200     0.0669
NRS1_FULL                       YIdlVert2             -108.0148             -108.0594        0.044600     0.0413
NRS1_FULL                       YIdlVert3              107.6149              107.6673        0.052400     0.0487
NRS1_FULL                       YIdlVert4              111.5372                110.97        0.567200     0.5085
NRS1_FULL                      Sci2IdlX00  -0.06766048701557284  -0.06384470737636742        0.003816     5.6396
NRS1_FULL                      Sci2IdlX10 6.370890614677663e-05 6.368728355513329e-05        0.000000     0.0339
NRS1_FULL                      Sci2IdlX11 -4.970698804492993e-07 3.648522953454175e-07        0.000001   173.4006
NRS1_FULL                      Sci2IdlX20 -2.955646134196004e-10 -2.924481040839713e-10        0.000000     1.0544
NRS1_FULL                      Sci2IdlX21 9.440510071416129e-10  9.42552166595701e-10        0.000000     0.1588
NRS1_FULL                      Sci2IdlX22 -1.112879201268919e-10 -6.35570774745818e-11        0.000000    42.8895
NRS1_FULL                      Sci2IdlX30 8.298477723913039e-14 8.296484089544573e-14        0.000000     0.0240
NRS1_FULL                      Sci2IdlX31  1.10325249897478e-14 8.807454570225739e-15        0.000000    20.1683
NRS1_FULL                      Sci2IdlX32 9.236020596236368e-14 9.381105416717624e-14        0.000000     1.5466
NRS1_FULL                      Sci2IdlX33 -1.804763753121786e-15 -3.567236971099689e-15        0.000000    49.4072
NRS1_FULL                      Sci2IdlX40 5.648729504890469e-18 5.943848293950935e-18        0.000000     4.9651
NRS1_FULL                      Sci2IdlX41 -2.405824675340322e-18 -1.285027164654429e-18        0.000000    46.5868
NRS1_FULL                      Sci2IdlX42 -1.521367320640505e-18 -2.271509093476447e-18        0.000000    33.0239
NRS1_FULL                      Sci2IdlX43 -1.974391146562075e-19 -5.718055250761725e-19        0.000000    65.4709
NRS1_FULL                      Sci2IdlX44 -9.012597898676598e-18 -8.778497927059817e-18        0.000000     2.5975
NRS1_FULL                      Sci2IdlX50 -1.050715013587022e-21 -1.103273877468168e-21        0.000000     4.7639
NRS1_FULL                      Sci2IdlX51 3.710178289757959e-23 -8.358301440971526e-23        0.000000   144.3891
NRS1_FULL                      Sci2IdlX52 2.612299746800808e-22 3.085868551770315e-22        0.000000    15.3464
NRS1_FULL                      Sci2IdlX53 -3.228929469215848e-22 -5.154080816719653e-22        0.000000    37.3520
NRS1_FULL                      Sci2IdlX54 1.157276804843781e-21 9.967373437303108e-22        0.000000    13.8722
NRS1_FULL                      Sci2IdlX55 1.777224398442411e-21 1.883329448693682e-21        0.000000     5.6339
NRS1_FULL                      Sci2IdlY00    0.2949791306378779    0.2958877023218116        0.000909     0.3071
NRS1_FULL                      Sci2IdlY10 -1.200776511783085e-06 -2.064725102383228e-06        0.000001    41.8433
NRS1_FULL                      Sci2IdlY11  6.68295462708183e-05 6.679932959014003e-05        0.000000     0.0452
NRS1_FULL                      Sci2IdlY20 3.188547477530503e-10  3.23006934804082e-10        0.000000     1.2855
NRS1_FULL                      Sci2IdlY21 -1.787654743888329e-10 -1.922377074491197e-10        0.000000     7.0081
NRS1_FULL                      Sci2IdlY22 1.287561891178568e-09 1.277533571663347e-09        0.000000     0.7789
NRS1_FULL                      Sci2IdlY30 6.350889440949872e-15 5.564046256828937e-15        0.000000    12.3895
NRS1_FULL                      Sci2IdlY31 7.207661388087074e-14 7.079920842829947e-14        0.000000     1.7723
NRS1_FULL                      Sci2IdlY32 1.789754778781953e-14 1.701020002031389e-14        0.000000     4.9579
NRS1_FULL                      Sci2IdlY33 4.358315309243651e-14 6.082666053231613e-14        0.000000    28.3486
NRS1_FULL                      Sci2IdlY40 -3.840356885689601e-19 -7.188629765162016e-19        0.000000    46.5773
NRS1_FULL                      Sci2IdlY41 6.155652787877726e-18 6.679755607962887e-18        0.000000     7.8461
NRS1_FULL                      Sci2IdlY42 -1.022026148107136e-17 -9.782355929862957e-18        0.000000     4.2847
NRS1_FULL                      Sci2IdlY43 4.438860028686924e-18  3.17171218055086e-18        0.000000    28.5467
NRS1_FULL                      Sci2IdlY44 -1.469268366076685e-17 -1.009559144907137e-17        0.000000    31.2883
NRS1_FULL                      Sci2IdlY50 -3.223434587384375e-22 -2.558107347385901e-22        0.000000    20.6403
NRS1_FULL                      Sci2IdlY51 -1.483818025221915e-21 -1.528711903161563e-21        0.000000     2.9367
NRS1_FULL                      Sci2IdlY52 6.365147867551279e-22 5.796366222104403e-22        0.000000     8.9359
NRS1_FULL                      Sci2IdlY53 -1.88082661606968e-21 -1.75776013865706e-21        0.000000     6.5432
NRS1_FULL                      Sci2IdlY54 1.122839562005322e-21 4.051668695412956e-22        0.000000    63.9159
NRS1_FULL                      Sci2IdlY55 6.888121590246114e-21 7.256431580842636e-21        0.000000     5.0756
NRS1_FULL                      Idl2SciX00     1221.524276660538     1202.669940389679       18.854336     1.5435
NRS1_FULL                      Idl2SciX10     16264.98697492135     16235.13755439467       29.849421     0.1835
NRS1_FULL                      Idl2SciX11    -1921.336839439773    -1966.090141169355       44.753302     2.2763
NRS1_FULL                      Idl2SciX20    -45.87368406354906    -10.44424043332526       35.429444    77.2326
NRS1_FULL                      Idl2SciX21     1715.907692768882      1970.38146239399      254.473770    12.9149
NRS1_FULL                      Idl2SciX22     10916.41902410088     10401.65656225416      514.762462     4.7155
NRS1_FULL                      Idl2SciX30    -9140.530710119654    -8943.292717601007      197.237993     2.1578
NRS1_FULL                      Idl2SciX31     698.5917861692592     522.7807958870359      175.810990    25.1665
NRS1_FULL                      Idl2SciX32    -18099.17373810413    -18875.62465813271      776.450920     4.1135
NRS1_FULL                      Idl2SciX33    -33304.90944021672     -32497.9490224716      806.960418     2.4229
NRS1_FULL                      Idl2SciX40    -4419.632326194178    -4715.175156843639      295.542831     6.2679
NRS1_FULL                      Idl2SciX41     13242.29581435942     12339.43418949343      902.861625     6.8180
NRS1_FULL                      Idl2SciX42    -3045.492796910981    -2773.159305604111      272.333491     8.9422
NRS1_FULL                      Idl2SciX43     28064.09752434046     28742.01655366154      677.919029     2.3586
NRS1_FULL                      Idl2SciX44      50605.6743686215     50038.38088203606      567.293487     1.1210
NRS1_FULL                      Idl2SciX50     16920.55296437354     17706.32747114685      785.774507     4.4378
NRS1_FULL                      Idl2SciX51     11846.75297438454     11780.84925192193       65.903722     0.5563
NRS1_FULL                      Idl2SciX52    -4960.108308454639    -4513.920104930025      446.188204     8.9955
NRS1_FULL                      Idl2SciX53     3947.101213239831     4284.591046323324      337.489833     7.8768
NRS1_FULL                      Idl2SciX54    -18965.18191958661    -18633.82125011858      331.360669     1.7472
NRS1_FULL                      Idl2SciX55     -30194.1155681817    -30029.56549484584      164.550073     0.5450
NRS1_FULL                      Idl2SciY00    -4477.927161108084    -4470.770690977621        7.156470     0.1598
NRS1_FULL                      Idl2SciY10     35.20757151084891     227.7560464971255      192.548475    84.5415
NRS1_FULL                      Idl2SciY11     12642.27254884551     12613.02422491708       29.248324     0.2314
NRS1_FULL                      Idl2SciY20     845.1901373918167     844.5595695148927        0.630568     0.0746
NRS1_FULL                      Idl2SciY21     1333.610287639001     1616.887060932112      283.276773    17.5199
NRS1_FULL                      Idl2SciY22     26951.69113812666     26629.71774886567      321.973389     1.1946
NRS1_FULL                      Idl2SciY30     271.4691126850536     344.8809185864923       73.411806    21.2861
NRS1_FULL                      Idl2SciY31    -10586.04885588899    -10532.96648911563       53.082367     0.5014
NRS1_FULL                      Idl2SciY32    -7312.096027331383      -8362.7840264472     1050.687999    12.5639
NRS1_FULL                      Idl2SciY33    -99229.64256534025     -97293.8772219322     1935.765343     1.9508
NRS1_FULL                      Idl2SciY40    -2045.633325369297    -2161.311405912165      115.678081     5.3522
NRS1_FULL                      Idl2SciY41    -3236.352337545441    -3851.828821180531      615.476484    15.9788
NRS1_FULL                      Idl2SciY42     10722.93468025674     10455.09556561847      267.839115     2.4978
NRS1_FULL                      Idl2SciY43     17069.82180897672     18183.44097282734     1113.619164     6.1244
NRS1_FULL                      Idl2SciY44     156031.6036142766     152919.4356008376     3112.168013     1.9946
NRS1_FULL                      Idl2SciY50     7212.260718633995     6927.352136516572      284.908582     3.9503
NRS1_FULL                      Idl2SciY51     18230.84301743983     18271.02977553312       40.186758     0.2199
NRS1_FULL                      Idl2SciY52     6136.349076484568     6430.826402757167      294.477326     4.5792
NRS1_FULL                      Idl2SciY53     3859.207259606638     4196.329473513968      337.122214     8.0337
NRS1_FULL                      Idl2SciY54    -14728.94553415722    -14811.06773864424       82.122204     0.5545
NRS1_FULL                      Idl2SciY55    -97253.67987395759    -96242.97046878719     1010.709405     1.0393

NRS2_FULL_OSS                   XSciScale            0.10331895            0.10335863        0.000040     0.0384
NRS2_FULL_OSS                   YSciScale            0.10536476            0.10542292        0.000058     0.0552
NRS2_FULL_OSS                       V2Ref            463.167407            462.630504        0.536903     0.1159
NRS2_FULL_OSS                       V3Ref           -353.212761            -353.84829        0.635529     0.1796
NRS2_FULL_OSS                 V3IdlYAngle           -42.2826531          -42.20849987        0.074153     0.1754
NRS2_FULL_OSS                 V3SciXAngle         -131.15356455         -131.06028242        0.093282     0.0711
NRS2_FULL_OSS                 V3SciYAngle           -42.2826531          -42.20849987        0.074153     0.1754
NRS2_FULL_OSS                   XIdlVert1               107.876              108.1302        0.254200     0.2351
NRS2_FULL_OSS                   XIdlVert2              -106.684             -106.6869        0.002900     0.0027
NRS2_FULL_OSS                   XIdlVert3             -104.1698             -104.1905        0.020700     0.0199
NRS2_FULL_OSS                   XIdlVert4              105.5889              106.1639        0.575000     0.5416
NRS2_FULL_OSS                   YIdlVert1              -112.002             -111.7849        0.217100     0.1938
NRS2_FULL_OSS                   YIdlVert2             -107.4248             -107.4227        0.002100     0.0020
NRS2_FULL_OSS                   YIdlVert3              108.2065               108.307        0.100500     0.0928
NRS2_FULL_OSS                   YIdlVert4               104.727              104.2206        0.506400     0.4835
NRS2_FULL_OSS                  Sci2IdlX00   0.07166189637425877   0.07544872113778224        0.003787     5.0191
NRS2_FULL_OSS                  Sci2IdlX10 -6.372734801206317e-05 -6.372539972159204e-05        0.000000     0.0031
NRS2_FULL_OSS                  Sci2IdlX11 -1.601985810114513e-06 -2.460454640921618e-06        0.000001    34.8907
NRS2_FULL_OSS                  Sci2IdlX20 3.028879993354439e-10  3.08821876060402e-10        0.000000     1.9215
NRS2_FULL_OSS                  Sci2IdlX21 9.592694572034405e-10 9.590963782516013e-10        0.000000     0.0180
NRS2_FULL_OSS                  Sci2IdlX22 8.679182675742234e-11 1.346189265616791e-10        0.000000    35.5278
NRS2_FULL_OSS                  Sci2IdlX30 -8.197527766313461e-14 -8.201539625411389e-14        0.000000     0.0489
NRS2_FULL_OSS                  Sci2IdlX31 3.733523292874188e-15 2.065248294532477e-15        0.000000    44.6837
NRS2_FULL_OSS                  Sci2IdlX32 -8.945702639763136e-14 -8.830083591095828e-14        0.000000     1.2925
NRS2_FULL_OSS                  Sci2IdlX33 3.792635240628379e-15 7.299995228046563e-15        0.000000    48.0461
NRS2_FULL_OSS                  Sci2IdlX40 -5.878798689109636e-18 -6.160222993913568e-18        0.000000     4.5684
NRS2_FULL_OSS                  Sci2IdlX41 -2.07985582035106e-18 -2.018902130372088e-18        0.000000     2.9307
NRS2_FULL_OSS                  Sci2IdlX42 1.983037623930981e-19 -2.400184421358652e-19        0.000000   182.6202
NRS2_FULL_OSS                  Sci2IdlX43 -1.615069269245696e-18 -2.833793616450537e-18        0.000000    43.0068
NRS2_FULL_OSS                  Sci2IdlX44 -6.473712671675044e-18 -6.592389440104895e-18        0.000000     1.8002
NRS2_FULL_OSS                  Sci2IdlX50 1.050716303745613e-21 1.103273130007689e-21        0.000000     4.7637
NRS2_FULL_OSS                  Sci2IdlX51 -3.718689117014997e-23 8.363846395816807e-23        0.000000   144.4615
NRS2_FULL_OSS                  Sci2IdlX52 -2.613479029347464e-22 -3.085977989890026e-22        0.000000    15.3112
NRS2_FULL_OSS                  Sci2IdlX53 3.227039266862204e-22 5.154356673755245e-22        0.000000    37.3920
NRS2_FULL_OSS                  Sci2IdlX54 -1.157420450491396e-21 -9.966430902433373e-22        0.000000    13.8910
NRS2_FULL_OSS                  Sci2IdlX55 -1.777204676456111e-21 -1.88333845949638e-21        0.000000     5.6354
NRS2_FULL_OSS                  Sci2IdlY00     0.293917865899976    0.2929349676425646        0.000983     0.3344
NRS2_FULL_OSS                  Sci2IdlY10 -2.376300463652243e-07 6.275098038227278e-07        0.000001   137.8687
NRS2_FULL_OSS                  Sci2IdlY11  -6.6814814020328e-05 -6.675326270830706e-05        0.000000     0.0921
NRS2_FULL_OSS                  Sci2IdlY20 3.155121748054277e-10 3.118342752071371e-10        0.000000     1.1657
NRS2_FULL_OSS                  Sci2IdlY21  1.63778196089257e-10  1.50327676242267e-10        0.000000     8.2126
NRS2_FULL_OSS                  Sci2IdlY22 1.284341598905369e-09 1.273867039320227e-09        0.000000     0.8156
NRS2_FULL_OSS                  Sci2IdlY30 1.253789294701939e-14 1.306149613668162e-14        0.000000     4.0088
NRS2_FULL_OSS                  Sci2IdlY31 -6.973389597701244e-14 -7.061018017289396e-14        0.000000     1.2410
NRS2_FULL_OSS                  Sci2IdlY32 1.775926266990636e-14 1.754585711338908e-14        0.000000     1.2017
NRS2_FULL_OSS                  Sci2IdlY33 -4.427035204020728e-14 -5.932665116348593e-14        0.000000    25.3786
NRS2_FULL_OSS                  Sci2IdlY40 -3.920522975839454e-18 -3.525170683004438e-18        0.000000    10.0842
NRS2_FULL_OSS                  Sci2IdlY41 -6.867647949373154e-18 -6.737664508422773e-18        0.000000     1.8927
NRS2_FULL_OSS                  Sci2IdlY42 -6.029873922277158e-18 -5.966358218082458e-18        0.000000     1.0534
NRS2_FULL_OSS                  Sci2IdlY43 -3.815814985417029e-18 -4.542026975643034e-18        0.000000    15.9887
NRS2_FULL_OSS                  Sci2IdlY44 -1.223064894372162e-17 -9.210159816417456e-18        0.000000    24.6961
NRS2_FULL_OSS                  Sci2IdlY50  3.22365654807196e-22 2.557970001994725e-22        0.000000    20.6500
NRS2_FULL_OSS                  Sci2IdlY51 1.483774938251213e-21  1.52873390453444e-21        0.000000     2.9409
NRS2_FULL_OSS                  Sci2IdlY52 -6.365191779451103e-22 -5.796290265850581e-22        0.000000     8.9377
NRS2_FULL_OSS                  Sci2IdlY53 1.880788052792349e-21 1.757759094802295e-21        0.000000     6.5414
NRS2_FULL_OSS                  Sci2IdlY54 -1.123410133109117e-21 -4.048073532487627e-22        0.000000    63.9662
NRS2_FULL_OSS                  Sci2IdlY55 -6.888104773256666e-21 -7.25643526565383e-21        0.000000     5.0759
NRS2_FULL_OSS                  Idl2SciX00     983.6477870860751     1001.643760948405       17.995974     1.7966
NRS2_FULL_OSS                  Idl2SciX10    -16259.02763834946    -16223.07845413304       35.949184     0.2211
NRS2_FULL_OSS                  Idl2SciX11     1732.882960994794     1790.725201787006       57.842241     3.2301
NRS2_FULL_OSS                  Idl2SciX20    -109.5451014094611    -161.5386186719996       51.993517    32.1864
NRS2_FULL_OSS                  Idl2SciX21     -1798.75573092427    -2130.898467761976      332.142737    15.5870
NRS2_FULL_OSS                  Idl2SciX22    -9624.546387776461     -9196.03185714362      428.514531     4.4523
NRS2_FULL_OSS                  Idl2SciX30      9077.30351232868     9096.534047889314       19.230536     0.2114
NRS2_FULL_OSS                  Idl2SciX31     583.4154826413325     901.0682284212517      317.652746    35.2529
NRS2_FULL_OSS                  Idl2SciX32     18528.48091084284     19685.85828844648     1157.377378     5.8792
NRS2_FULL_OSS                  Idl2SciX33     28904.49156418608     28387.57622544924      516.915339     1.7884
NRS2_FULL_OSS                  Idl2SciX40    -5487.311540240705    -5330.229823853922      157.081716     2.8626
NRS2_FULL_OSS                  Idl2SciX41    -12473.41183986839    -12461.34399339119       12.067846     0.0967
NRS2_FULL_OSS                  Idl2SciX42    -1002.281239484241    -1720.292674440364      718.011435    41.7377
NRS2_FULL_OSS                  Idl2SciX43      -29036.155993094    -30548.42979528766     1512.273802     4.9504
