Reference:  206 apertures in PRDOPSSOC-029
Comparison: 206 apertures in new pre-delivery

Number of modified apertures 206. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA5_TAGRISMTS32_F405N             V2Ref             73.261869             73.236065        0.025804     0.0352
NRCA5_TAGRISMTS32_F405N             V3Ref           -551.572109           -551.527759        0.044350     0.0080
NRCA5_TAGRISMTS32_F405N       V3IdlYAngle           -0.06506641           -0.06464104        0.000425     0.6537
NRCA5_TAGRISMTS32_F405N       V3SciXAngle          -90.26893788          -90.26859963        0.000338     0.0004
NRCA5_TAGRISMTS32_F405N       V3SciYAngle           -0.06506641           -0.06464104        0.000425     0.6537
NRCA5_TAGRISMTS32_F405N         XIdlVert1               -0.9858               -1.0116        0.025800     2.5504
NRCA5_TAGRISMTS32_F405N         XIdlVert2                1.0495                1.0237        0.025800     2.4583
NRCA5_TAGRISMTS32_F405N         XIdlVert3                 1.049                1.0233        0.025700     2.4500
NRCA5_TAGRISMTS32_F405N         XIdlVert4               -0.9854               -1.0111        0.025700     2.5418
NRCA5_TAGRISMTS32_F405N         YIdlVert1               -0.9912               -1.0356        0.044400     4.2874
NRCA5_TAGRISMTS32_F405N         YIdlVert2               -0.9986                -1.043        0.044400     4.2570
NRCA5_TAGRISMTS32_F405N         YIdlVert3                 1.055                1.0107        0.044300     4.1991
NRCA5_TAGRISMTS32_F405N         YIdlVert4                1.0621                1.0178        0.044300     4.1710
NRCA5_TAGRISMTS32_F405N        Sci2IdlX10   0.06358932942208465   0.06358883645081832        0.000000     0.0008
NRCA5_TAGRISMTS32_F405N        Sci2IdlX20 1.874240150334464e-07  1.87539750570834e-07        0.000000     0.0617
NRCA5_TAGRISMTS32_F405N        Sci2IdlX21 -9.281524534891378e-07 -9.279844057662059e-07        0.000000     0.0181
NRCA5_TAGRISMTS32_F405N        Sci2IdlX22 -7.256685985415849e-08 -7.252531898637205e-08        0.000000     0.0572
NRCA5_TAGRISMTS32_F405N        Sci2IdlX30 1.037255501228047e-10  1.03719764147406e-10        0.000000     0.0056
NRCA5_TAGRISMTS32_F405N        Sci2IdlX31 -1.718417622452399e-11 -1.720119535072468e-11        0.000000     0.0989
NRCA5_TAGRISMTS32_F405N        Sci2IdlX32 1.297703697527732e-10 1.297319225927749e-10        0.000000     0.0296
NRCA5_TAGRISMTS32_F405N        Sci2IdlX33  -2.6564671068437e-12 -2.662498255820133e-12        0.000000     0.2265
NRCA5_TAGRISMTS32_F405N        Sci2IdlX40 4.987501196998942e-15 4.997347186221406e-15        0.000000     0.1970
NRCA5_TAGRISMTS32_F405N        Sci2IdlX41 -1.99845828615141e-14 -1.997054815577301e-14        0.000000     0.0702
NRCA5_TAGRISMTS32_F405N        Sci2IdlX42 4.615542091383528e-15 4.627995937244556e-15        0.000000     0.2691
NRCA5_TAGRISMTS32_F405N        Sci2IdlX43 -2.023623070517837e-14 -2.02227134356273e-14        0.000000     0.0668
NRCA5_TAGRISMTS32_F405N        Sci2IdlX44 3.983248946060661e-16 4.002246539440729e-16        0.000000     0.4747
NRCA5_TAGRISMTS32_F405N        Sci2IdlX51 4.887403990062358e-19 4.887795643712114e-19        0.000000     0.0080
NRCA5_TAGRISMTS32_F405N        Sci2IdlX53 5.158091291642604e-19 5.158814167436879e-19        0.000000     0.0140
NRCA5_TAGRISMTS32_F405N        Sci2IdlX55 4.422046349418775e-20 4.425320661739065e-20        0.000000     0.0740
NRCA5_TAGRISMTS32_F405N        Sci2IdlY10 -0.0002262663151414463 -0.0002263612510419676        0.000000     0.0419
NRCA5_TAGRISMTS32_F405N        Sci2IdlY11    0.0641721391096829   0.06417123285757208        0.000001     0.0014
NRCA5_TAGRISMTS32_F405N        Sci2IdlY20 2.191208870052869e-07 2.191938500056368e-07        0.000000     0.0333
NRCA5_TAGRISMTS32_F405N        Sci2IdlY21 2.880405858958061e-07 2.881150151464677e-07        0.000000     0.0258
NRCA5_TAGRISMTS32_F405N        Sci2IdlY22 -7.381844817138832e-07 -7.37895802456198e-07        0.000000     0.0391
NRCA5_TAGRISMTS32_F405N        Sci2IdlY30 -3.938301921550654e-12 -3.941358657034263e-12        0.000000     0.0776
NRCA5_TAGRISMTS32_F405N        Sci2IdlY31  1.14217599281944e-10 1.141858085536717e-10        0.000000     0.0278
NRCA5_TAGRISMTS32_F405N        Sci2IdlY32 -1.800370299016027e-11 -1.801965798471966e-11        0.000000     0.0885
NRCA5_TAGRISMTS32_F405N        Sci2IdlY33 1.421344999533803e-10 1.420746474248017e-10        0.000000     0.0421
NRCA5_TAGRISMTS32_F405N        Sci2IdlY40 -3.276040695139232e-15 -3.272235127991363e-15        0.000000     0.1162
NRCA5_TAGRISMTS32_F405N        Sci2IdlY41 4.349372529075544e-15 4.358894649695388e-15        0.000000     0.2185
NRCA5_TAGRISMTS32_F405N        Sci2IdlY42 -2.685652823216703e-14 -2.683559406479334e-14        0.000000     0.0779
NRCA5_TAGRISMTS32_F405N        Sci2IdlY43 3.243782211682413e-15 3.253187028404428e-15        0.000000     0.2891
NRCA5_TAGRISMTS32_F405N        Sci2IdlY44 -2.208129971750277e-14 -2.206582085793184e-14        0.000000     0.0701
NRCA5_TAGRISMTS32_F405N        Sci2IdlY50 9.224014367015728e-20 9.220519878869879e-20        0.000000     0.0379
NRCA5_TAGRISMTS32_F405N        Sci2IdlY52 5.971430586782829e-19 5.970722963067974e-19        0.000000     0.0119
NRCA5_TAGRISMTS32_F405N        Sci2IdlY54 4.934339802039025e-19 4.933989613076217e-19        0.000000     0.0071
NRCA5_TAGRISMTS32_F405N        Idl2SciX00  -0.00480670142295736 -0.004814128490863823        0.000007     0.1543
NRCA5_TAGRISMTS32_F405N        Idl2SciX10      15.7254494341561     15.72557151681829        0.000122     0.0008
NRCA5_TAGRISMTS32_F405N        Idl2SciX11 9.907970023853921e-05  9.93485806432895e-05        0.000000     0.2706
NRCA5_TAGRISMTS32_F405N        Idl2SciX20 -0.0007151652669573405 -0.000715630376856689        0.000000     0.0650
NRCA5_TAGRISMTS32_F405N        Idl2SciX21  0.003581435281396577  0.003580911043843341        0.000001     0.0146
NRCA5_TAGRISMTS32_F405N        Idl2SciX22 0.0002793516131281659 0.0002792084154529968        0.000000     0.0513
NRCA5_TAGRISMTS32_F405N        Idl2SciX30 -6.418074872998355e-06 -6.417921685197507e-06        0.000000     0.0024
NRCA5_TAGRISMTS32_F405N        Idl2SciX31 9.350824956187924e-08 9.407418735881849e-08        0.000000     0.6016
NRCA5_TAGRISMTS32_F405N        Idl2SciX32 -6.12777154135933e-06 -6.126531622283357e-06        0.000000     0.0202
NRCA5_TAGRISMTS32_F405N        Idl2SciX33 3.092400700633508e-07 3.094468298683729e-07        0.000000     0.0668
NRCA5_TAGRISMTS32_F405N        Idl2SciX40 -2.825491134661311e-09 -2.833422136990216e-09        0.000000     0.2799
NRCA5_TAGRISMTS32_F405N        Idl2SciX41 1.000959022523767e-08 9.998197512614033e-09        0.000000     0.1138
NRCA5_TAGRISMTS32_F405N        Idl2SciX42 -2.912121867815707e-09 -2.922504686852392e-09        0.000000     0.3553
NRCA5_TAGRISMTS32_F405N        Idl2SciX43 1.040592729140665e-08 1.039481801780149e-08        0.000000     0.1068
NRCA5_TAGRISMTS32_F405N        Idl2SciX44 -5.994154128011206e-10 -6.013189322734457e-10        0.000000     0.3166
NRCA5_TAGRISMTS32_F405N        Idl2SciX51 -6.317074960552473e-12 -6.316651867800539e-12        0.000000     0.0067
NRCA5_TAGRISMTS32_F405N        Idl2SciX53 -7.554724318475529e-12 -7.553816220385605e-12        0.000000     0.0120
