Reference:  189 apertures in PRDOPSSOC-H-015
Comparison: 189 apertures in new pre-delivery

Number of modified apertures 189. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA2_FULL_OSS                 Idl2SciY54 -7.19204030165935e-12 -6.754338775229592e-12        0.000000     6.0859
NRCA2_FULL_OSS                 Idl2SciY55  1.34649396055859e-10 1.346766014727852e-10        0.000000     0.0202

NRCA3_FULL_OSS                  XIdlVert1              -32.3319              -32.3362        0.004300     0.0133
NRCA3_FULL_OSS                  XIdlVert2                 32.22               32.2203        0.000300     0.0009
NRCA3_FULL_OSS                  XIdlVert3                31.789               31.7859        0.003100     0.0098
NRCA3_FULL_OSS                  XIdlVert4              -31.8844              -31.8854        0.001000     0.0031
NRCA3_FULL_OSS                  YIdlVert1              -32.5385              -32.5428        0.004300     0.0132
NRCA3_FULL_OSS                  YIdlVert2              -32.0911              -32.0923        0.001200     0.0037
NRCA3_FULL_OSS                  YIdlVert3               32.2044               32.2013        0.003100     0.0096
NRCA3_FULL_OSS                  YIdlVert4               32.0948               32.0949        0.000100     0.0003
NRCA3_FULL_OSS                 Idl2SciX10      31.9655113293206     31.96589280570012        0.000381     0.0012
NRCA3_FULL_OSS                 Idl2SciX11    -0.156169381850733 -0.0007451425045145732        0.155424    99.5229
NRCA3_FULL_OSS                 Idl2SciX20   0.00204483359198849  0.002011771143185748        0.000033     1.6169
NRCA3_FULL_OSS                 Idl2SciX21   0.00678774775003757  0.006811908855883364        0.000024     0.3547
NRCA3_FULL_OSS                 Idl2SciX22 -0.000472790305078875 -0.0004397278562761319        0.000033     6.9930
NRCA3_FULL_OSS                 Idl2SciX30 -1.06367970156799e-05 -1.063327916869114e-05        0.000000     0.0331
NRCA3_FULL_OSS                 Idl2SciX31 -6.89416234777001e-07 -7.575974246552347e-07        0.000000     8.9997
NRCA3_FULL_OSS                 Idl2SciX32 -8.94321957237762e-06 -8.93930546188196e-06        0.000000     0.0438
NRCA3_FULL_OSS                 Idl2SciX33 -7.28935426786775e-07 -7.72409704646077e-07        0.000000     5.6284
NRCA3_FULL_OSS                 Idl2SciX40  2.18060309410201e-08 2.174968976701283e-08        0.000000     0.2584
NRCA3_FULL_OSS                 Idl2SciX41  1.15078695487082e-08 1.166711817083766e-08        0.000000     1.3649
NRCA3_FULL_OSS                 Idl2SciX42  2.71911155854165e-08 2.716824188119889e-08        0.000000     0.0841
NRCA3_FULL_OSS                 Idl2SciX43  1.30709048422508e-08 1.324024066027657e-08        0.000000     1.2789
NRCA3_FULL_OSS                 Idl2SciX44  4.85119895045479e-09 4.915164692534549e-09        0.000000     1.3014
NRCA3_FULL_OSS                 Idl2SciX50 -1.36336114698121e-10 -1.363783987264911e-10        0.000000     0.0310
NRCA3_FULL_OSS                 Idl2SciX51  8.97862219027935e-12 8.414081105467887e-12        0.000000     6.2876
NRCA3_FULL_OSS                 Idl2SciX52 -2.82855561087532e-10 -2.828225191523317e-10        0.000000     0.0117
NRCA3_FULL_OSS                 Idl2SciX53   9.9965279823607e-12 8.663502096838168e-12        0.000000    13.3349
NRCA3_FULL_OSS                 Idl2SciX54 -1.43616986357423e-10 -1.435616972006089e-10        0.000000     0.0385
NRCA3_FULL_OSS                 Idl2SciX55  1.80688961322466e-12 1.108726558654408e-12        0.000000    38.6389
NRCA3_FULL_OSS                 Idl2SciY10    0.0194607780326609   -0.1351121231502698        0.154573   114.4034
NRCA3_FULL_OSS                 Idl2SciY11      31.7907501257958     31.79046896472029        0.000281     0.0009
NRCA3_FULL_OSS                 Idl2SciY20  -0.00214931692726723 -0.002161799613304419        0.000012     0.5774
NRCA3_FULL_OSS                 Idl2SciY21   0.00260032374872115  0.002534209529137509        0.000066     2.5425
NRCA3_FULL_OSS                 Idl2SciY22   0.00463693063555136  0.004649413321588461        0.000012     0.2685
NRCA3_FULL_OSS                 Idl2SciY30 -8.36255849711186e-07 -7.83203042263714e-07        0.000000     6.3441
NRCA3_FULL_OSS                 Idl2SciY31 -1.09095622994961e-05 -1.091287552455107e-05        0.000000     0.0304
NRCA3_FULL_OSS                 Idl2SciY32 -8.91130943628012e-07 -8.566326755871815e-07        0.000000     3.8713
NRCA3_FULL_OSS                 Idl2SciY33 -9.63709304933448e-06 -9.641342057634522e-06        0.000000     0.0441
NRCA3_FULL_OSS                 Idl2SciY40  5.02927144985161e-09 4.945468091791079e-09        0.000000     1.6663
NRCA3_FULL_OSS                 Idl2SciY41  1.73007614659593e-08 1.717025962298061e-08        0.000000     0.7543
NRCA3_FULL_OSS                 Idl2SciY42  2.33897833445846e-08 2.339952684309068e-08        0.000000     0.0416
NRCA3_FULL_OSS                 Idl2SciY43  1.66353973466047e-08 1.649971643221842e-08        0.000000     0.8156
NRCA3_FULL_OSS                 Idl2SciY44  1.86332912526258e-08 1.871384677785072e-08        0.000000     0.4305
NRCA3_FULL_OSS                 Idl2SciY50  1.64232283526626e-12 2.343859451144688e-12        0.000000    29.9308
NRCA3_FULL_OSS                 Idl2SciY51 -1.44257262023959e-10 -1.443089984876178e-10        0.000000     0.0359
NRCA3_FULL_OSS                 Idl2SciY52  9.65960012407024e-12 1.094610339032701e-11        0.000000    11.7531
NRCA3_FULL_OSS                 Idl2SciY53 -2.80575917954804e-10 -2.805736284325242e-10        0.000000     0.0008
NRCA3_FULL_OSS                 Idl2SciY54  7.33707640953097e-12   7.8817444427458e-12        0.000000     6.9105
NRCA3_FULL_OSS                 Idl2SciY55 -1.34652598253855e-10 -1.34615599352451e-10        0.000000     0.0275

NRCA4_FULL_OSS                V3IdlYAngle              0.088712            0.08871159        0.000000     0.0005
NRCA4_FULL_OSS                  XIdlVert1               31.4141               31.4136        0.000500     0.0016
NRCA4_FULL_OSS                  XIdlVert2              -31.5159              -31.5199        0.004000     0.0127
NRCA4_FULL_OSS                  XIdlVert3              -31.8581              -31.8598        0.001700     0.0053
NRCA4_FULL_OSS                  XIdlVert4               31.7635               31.7609        0.002600     0.0082
NRCA4_FULL_OSS                  YIdlVert1               31.6711               31.6721        0.001000     0.0032
NRCA4_FULL_OSS                  YIdlVert2                31.787               31.7914        0.004400     0.0138
NRCA4_FULL_OSS                  YIdlVert3              -31.8292              -31.8295        0.000300     0.0009
NRCA4_FULL_OSS                  YIdlVert4              -31.6175              -31.6145        0.003000     0.0095
NRCA4_FULL_OSS                 Idl2SciX10     -32.3885723660355    -32.38861350876711        0.000041     0.0001
NRCA4_FULL_OSS                 Idl2SciX11    0.0516282571457833  0.000605444051576226        0.051023    98.8273
NRCA4_FULL_OSS                 Idl2SciX20  -0.00210087366076884  -0.00209206285220469        0.000009     0.4194
NRCA4_FULL_OSS                 Idl2SciX21  -0.00558894325124623 -0.005597014467618368        0.000008     0.1442
NRCA4_FULL_OSS                 Idl2SciX22  0.000469685153706513 0.0004608743451423761        0.000009     1.8759
NRCA4_FULL_OSS                 Idl2SciX30  1.11316149412161e-05 1.113641806460823e-05        0.000000     0.0431
NRCA4_FULL_OSS                 Idl2SciX31 -3.05915895004276e-06 -3.038750746586151e-06        0.000000     0.6671
NRCA4_FULL_OSS                 Idl2SciX32  1.02269847314458e-05 1.022021612555357e-05        0.000000     0.0662
NRCA4_FULL_OSS                 Idl2SciX33 -6.08485841683113e-07 -5.923802702807985e-07        0.000000     2.6468
NRCA4_FULL_OSS                 Idl2SciX40 -2.21781337584179e-08 -2.222037602010399e-08        0.000000     0.1901
NRCA4_FULL_OSS                 Idl2SciX41  2.68393993307997e-08 2.679019988015324e-08        0.000000     0.1833
NRCA4_FULL_OSS                 Idl2SciX42 -2.87852284112979e-08 -2.878065686241377e-08        0.000000     0.0159
NRCA4_FULL_OSS                 Idl2SciX43   2.5876265454053e-08 2.581870141493936e-08        0.000000     0.2225
NRCA4_FULL_OSS                 Idl2SciX44 -5.27661911246382e-09 -5.23590070040572e-09        0.000000     0.7717
NRCA4_FULL_OSS                 Idl2SciX50  1.36326113999759e-10  1.36338914286261e-10        0.000000     0.0094
NRCA4_FULL_OSS                 Idl2SciX51 -8.21686606699694e-12 -8.034012324231645e-12        0.000000     2.2253
NRCA4_FULL_OSS                 Idl2SciX52  2.82800711830229e-10 2.827887194482488e-10        0.000000     0.0042
NRCA4_FULL_OSS                 Idl2SciX53 -8.51230766427181e-12 -8.08048192957504e-12        0.000000     5.0730
NRCA4_FULL_OSS                 Idl2SciX54  1.43575962956854e-10 1.435575497420814e-10        0.000000     0.0128
NRCA4_FULL_OSS                 Idl2SciX55 -1.09395251465101e-12 -8.677870845994147e-13        0.000000    20.6742
NRCA4_FULL_OSS                 Idl2SciY10   -0.0243361033239097   0.02654430315584094        0.050880   191.6811
NRCA4_FULL_OSS                 Idl2SciY20   0.00288183414151608  0.002886044929376351        0.000004     0.1459
NRCA4_FULL_OSS                 Idl2SciY21  -0.00268185769554665 -0.002664041562763283        0.000018     0.6643
NRCA4_FULL_OSS                 Idl2SciY22  -0.00276867184768828 -0.002772882635548726        0.000004     0.1519
NRCA4_FULL_OSS                 Idl2SciY30 -4.37409867725097e-07 -4.557176914149457e-07        0.000000     4.0174
NRCA4_FULL_OSS                 Idl2SciY31  1.16182893323572e-05 1.162482724004203e-05        0.000000     0.0562
