                  AperName , AperType , XDetRef , YDetRef , XSciSize , YSciSize , XSciRef , YSciRef ,   ColCorner ,   RowCorner ,               V2_ref ,               V3_ref ,                               parent_apertures , dependency_type
#        -------------------------------------------------------------------------------------------------------------------------------------------------------------
# OSS apertures, for on-board computation of small angle maneuvers
               NRCA1_GRISMTS ,  FULLSCA ,   192.0 ,  1082.0 ,     2048 ,     2048 ,  1857.0 ,  1082.0 ,           1 ,           1 ,    96.57624156374709 ,  -525.87948019204543 ,                  NRCA1_FULL; NRCA5_GRISM_F444W ,     grism_ts_sw
            NRCA1_GRISMTS256 , SUBARRAY ,   192.0 ,   167.0 ,     2048 ,      256 ,  1857.0 ,   167.0 ,           1 ,           1 ,    96.67206819094696 ,  -554.68599149917668 ,               NRCA1_FULL; NRCA5_GRISM256_F444W ,     grism_ts_sw
            NRCA1_GRISMTS128 , SUBARRAY ,   192.0 ,   159.0 ,     2048 ,      128 ,  1857.0 ,    65.0 ,           1 ,          95 ,    96.67206819094696 ,  -554.93912775304182 ,               NRCA1_FULL; NRCA5_GRISM128_F444W ,     grism_ts_sw
             NRCA1_GRISMTS64 , SUBARRAY ,   192.0 ,   157.0 ,     2048 ,       64 ,  1857.0 ,    33.0 ,           1 ,         125 ,    96.67206819094696 ,  -555.00241564220016 ,                NRCA1_FULL; NRCA5_GRISM64_F444W ,     grism_ts_sw
               NRCA3_GRISMTS ,  FULLSCA ,  1003.0 ,  1091.0 ,     2048 ,     2048 ,  1046.0 ,  1091.0 ,           1 ,           1 ,    51.28463161872798 ,  -525.83603657170181 ,                                     NRCA3_FULL ,         default
            NRCA3_GRISMTS256 , SUBARRAY ,  1003.0 ,   176.0 ,     2048 ,      256 ,  1046.0 ,   176.0 ,           1 ,           1 ,    51.14400457614203 ,  -554.72841136577085 ,                                     NRCA3_FULL ,         default
            NRCA3_GRISMTS128 , SUBARRAY ,  1003.0 ,   168.0 ,     2048 ,      128 ,  1046.0 ,    65.0 ,           1 ,         104 ,    51.14284603937145 ,  -554.98225295430223 ,                                     NRCA3_FULL ,         default
             NRCA3_GRISMTS64 , SUBARRAY ,  1003.0 ,   166.0 ,     2048 ,       64 ,  1046.0 ,    33.0 ,           1 ,         134 ,    51.14255650334577 ,  -555.04571689859654 ,                                     NRCA3_FULL ,         default
           NRCA5_TAGRISMTS32 , SUBARRAY ,   820.5 ,   110.5 ,       32 ,       32 ,    16.5 ,    16.5 ,         805 ,          95 ,    73.10685695831860 ,  -551.64319557431998 ,                                     NRCA5_FULL ,         default
     NRCA5_TAGRISMTS32_F405N , SUBARRAY ,  820.43 ,  110.85 ,       32 ,       32 ,   16.57 ,   16.85 ,         805 ,          95 ,    73.10238719518213 ,  -551.62075959366223 ,                                     NRCA5_FULL ,         default
  NRCA5_TAGRISMTS_SCI_F322W2 ,      ROI ,   468.0 ,    57.5 ,       32 ,       32 ,    16.0 ,    16.5 ,         452 ,          42 ,    50.65291750049504 ,  -555.12721697664733 ,                                     NRCA5_FULL ,         default
   NRCA5_TAGRISMTS_SCI_F444W ,      ROI ,  1191.0 ,    57.5 ,       32 ,       32 ,    16.0 ,    16.5 ,        1175 ,          42 ,    96.66266171923630 ,  -554.90523170784661 ,                                     NRCA5_FULL ,         default
# Grism Time Series (Module-B. Only apertures for NRC-35 activity)
       NRCB5_GRISM256_F322W2 , SUBARRAY ,   468.0 ,    35.0 ,     2048 ,      256 ,   468.0 ,   222.0 ,           1 ,           1 ,   -54.79413383209339 ,  -429.00188043898498 ,                                     NRCB5_FULL ,         default
       NRCB5_GRISM128_F322W2 , SUBARRAY ,   468.0 ,    35.0 ,     2048 ,      128 ,   468.0 ,    94.0 ,           1 ,           1 ,   -54.79413383209339 ,  -429.00188043898498 ,                                     NRCB5_FULL ,         default
        NRCB5_GRISM64_F322W2 , SUBARRAY ,   468.0 ,    35.0 ,     2048 ,       64 ,   468.0 ,    30.0 ,           1 ,           1 ,   -54.79413383209339 ,  -429.00188043898498 ,                                     NRCB5_FULL ,         default
            NRCB2_GRISMTS256 , SUBARRAY ,  1857.0 ,   167.0 ,     2048 ,      256 ,   192.0 ,   167.0 ,           1 ,           1 ,   -97.05019974791334 ,  -552.70557161129432 ,                                     NRCB2_FULL ,         default
            NRCB2_GRISMTS128 , SUBARRAY ,  1857.0 ,   167.0 ,     2048 ,      128 ,   192.0 ,    65.0 ,           1 ,         103 ,   -97.05019974791334 ,  -552.70557161129432 ,                                     NRCB2_FULL ,         default
             NRCB2_GRISMTS64 , SUBARRAY ,  1857.0 ,   167.0 ,     2048 ,       64 ,   192.0 ,    33.0 ,           1 ,         135 ,   -97.05019974791334 ,  -552.70557161129432 ,                                     NRCB2_FULL ,         default
            NRCB4_GRISMTS256 , SUBARRAY ,  1046.0 ,   176.0 ,     2048 ,      256 ,  1003.0 ,   176.0 ,           1 ,           1 ,   -54.79413383209339 ,  -552.40132668677609 ,              NRCB4_FULL; NRCB5_GRISM256_F322W2 ,     grism_ts_sw
            NRCB4_GRISMTS128 , SUBARRAY ,  1046.0 ,   176.0 ,     2048 ,      128 ,  1003.0 ,    65.0 ,           1 ,         112 ,   -54.79413383209339 ,  -552.40132668677609 ,              NRCB4_FULL; NRCB5_GRISM128_F322W2 ,     grism_ts_sw
             NRCB4_GRISMTS64 , SUBARRAY ,  1046.0 ,   176.0 ,     2048 ,       64 ,  1003.0 ,    33.0 ,           1 ,         144 ,   -54.79413383209339 ,  -552.40132668677609 ,               NRCB4_FULL; NRCB5_GRISM64_F322W2 ,     grism_ts_sw
# WFSC / MIMF Field Points (Module-A)
                NRCA3_DHSPIL ,  FULLSCA ,  1084.0 ,  1194.0 ,     2048 ,     2048 ,   965.0 ,  1194.0 ,           1 ,           1 ,    53.83217104383210 ,  -522.60207014066873 ,                                     NRCA3_FULL ,         default
          NRCA3_DHSPIL_SUB96 , SUBARRAY ,  1084.0 ,  1194.0 ,       96 ,       96 ,    48.0 ,    49.0 ,        1036 ,        1146 ,    53.83217104383210 ,  -522.60207014066873 ,                                     NRCA3_FULL ,         default
         NRCA3_DHSPIL_WEDGES ,  FULLSCA ,  1084.0 ,  1194.0 ,     2048 ,     2048 ,   965.0 ,  1194.0 ,           1 ,           1 ,    52.25017104383210 ,  -482.68407014066872 ,                                     NRCA3_FULL ,    dhspil_wedge
                   NRCA3_FP1 ,  FULLSCA ,  1587.5 ,  1410.5 ,     2048 ,     2048 ,   461.5 ,  1410.5 ,           1 ,           1 ,    69.55535371869557 ,  -515.81300996660298 ,                                     NRCA3_FULL ,         default
              NRCA3_FP1_SUB8 , SUBARRAY ,  1587.5 ,  1410.5 ,        8 ,        8 ,     4.5 ,     4.5 ,        1584 ,        1407 ,    69.55535371869557 ,  -515.81300996660298 ,                                     NRCA3_FULL ,         default
             NRCA3_FP1_SUB64 , SUBARRAY ,  1587.5 ,  1410.5 ,       64 ,       64 ,    32.5 ,    32.5 ,        1556 ,        1379 ,    69.55535371869557 ,  -515.81300996660298 ,                                     NRCA3_FULL ,         default
               NRCA3_FP2MIMF ,  FULLSCA ,   229.0 ,   229.0 ,     2048 ,     2048 ,  1820.0 ,   229.0 ,           1 ,           1 ,    26.75888638519715 ,  -553.04895476932938 ,                                     NRCA3_FULL ,         default
               NRCA1_FP3MIMF ,  FULLSCA ,  1818.0 ,   229.0 ,     2048 ,     2048 ,   231.0 ,   229.0 ,           1 ,           1 ,   145.68940662431288 ,  -552.23628229404596 ,                                     NRCA1_FULL ,         default
