Reference:  202 apertures in PRDOPSSOC-M-026
Comparison: 202 apertures in new pre-delivery

Number of modified apertures 202. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA2_MASK210R                 Idl2SciY41 2.542318375181395e-08 2.596165199640312e-08        0.000000     2.0741
NRCA2_MASK210R                 Idl2SciY42 -4.352391894232601e-08 -4.461437677084458e-08        0.000000     2.4442
NRCA2_MASK210R                 Idl2SciY43 2.403413666171185e-08 2.454350137197081e-08        0.000000     2.0754
NRCA2_MASK210R                 Idl2SciY44 -3.598534461585179e-08 -3.686933470407386e-08        0.000000     2.3976
NRCA2_MASK210R                 Idl2SciY50 -8.889102865915953e-13 -8.816084354179104e-13        0.000000     0.8214
NRCA2_MASK210R                 Idl2SciY51 -1.441986598524602e-10 -1.441980501973047e-10        0.000000     0.0004
NRCA2_MASK210R                 Idl2SciY52 -8.239648255496484e-12 -8.226235259899772e-12        0.000000     0.1628
NRCA2_MASK210R                 Idl2SciY54 -6.708611846234452e-12 -6.702926244704115e-12        0.000000     0.0848
NRCA2_MASK210R                 Idl2SciY55 -1.346793431228276e-10 -1.346796826865322e-10        0.000000     0.0003

NRCA5_MASK335R                    XDetRef                1403.0                1398.0        5.000000     0.3564
NRCA5_MASK335R                    YDetRef                1667.0                1673.5        6.500000     0.3884
NRCA5_MASK335R                    XSciRef                 161.0                 160.0        1.000000     0.6211
NRCA5_MASK335R                    YSciRef                 160.0                 172.5       12.500000     7.2464
NRCA5_MASK335R                  XSciScale             0.0623037            0.06229993        0.000004     0.0061
NRCA5_MASK335R                  YSciScale             0.0625841            0.06258191        0.000002     0.0035
NRCA5_MASK335R                      V2Ref            107.494248            107.181584        0.312664     0.2909
NRCA5_MASK335R                      V3Ref           -405.234858           -404.829586        0.405272     0.1000
NRCA5_MASK335R                V3IdlYAngle           -0.16548341           -0.16114807        0.004335     2.6198
NRCA5_MASK335R                V3SciXAngle          -90.28102449          -90.27674116        0.004283     0.0047
NRCA5_MASK335R                V3SciYAngle           -0.16548341           -0.16114807        0.004335     2.6198
NRCA5_MASK335R                  XIdlVert1              -10.0189               -9.9576        0.061300     0.6118
NRCA5_MASK335R                  XIdlVert2                9.9501               10.0126        0.062500     0.6242
NRCA5_MASK335R                  XIdlVert3                9.9197                9.9831        0.063400     0.6351
NRCA5_MASK335R                  XIdlVert4               -9.9887               -9.9265        0.062200     0.6227
NRCA5_MASK335R                  YIdlVert1               -9.9552              -10.7381        0.782900     7.2909
NRCA5_MASK335R                  YIdlVert2              -10.0031              -10.7864        0.783300     7.2619
NRCA5_MASK335R                  YIdlVert3               10.0329                9.2508        0.782100     7.7954
NRCA5_MASK335R                  YIdlVert4               10.0659                9.2841        0.781800     7.7668
NRCA5_MASK335R                 Sci2IdlX10    0.0623035691381072   0.06229980775470729        0.000004     0.0060
NRCA5_MASK335R                 Sci2IdlX20 8.437518538602682e-09 9.840586964230612e-09        0.000000    14.2580
NRCA5_MASK335R                 Sci2IdlX21 -5.918866766982428e-07 -5.906566811956659e-07        0.000000     0.2078
NRCA5_MASK335R                 Sci2IdlX22 -1.370614015396976e-07 -1.366379013848128e-07        0.000000     0.3090
NRCA5_MASK335R                 Sci2IdlX30 9.828925157949851e-11 9.818694878859758e-11        0.000000     0.1041
NRCA5_MASK335R                 Sci2IdlX31 -1.517404004253476e-11 -1.516125820312745e-11        0.000000     0.0842
NRCA5_MASK335R                 Sci2IdlX32 1.053947336506966e-10 1.054657239688796e-10        0.000000     0.0673
NRCA5_MASK335R                 Sci2IdlX33 -4.443697385074339e-12 -4.444493536202468e-12        0.000000     0.0179
NRCA5_MASK335R                 Sci2IdlX40 -7.956942617266624e-15 -7.835801167881645e-15        0.000000     1.5225
NRCA5_MASK335R                 Sci2IdlX41 8.569185789160013e-15 8.702220915023048e-15        0.000000     1.5287
NRCA5_MASK335R                 Sci2IdlX42 -9.64781985975028e-15 -9.493794406500555e-15        0.000000     1.5965
NRCA5_MASK335R                 Sci2IdlX43 8.549148293270927e-15  8.67638293113371e-15        0.000000     1.4664
NRCA5_MASK335R                 Sci2IdlX44 -2.023637729969832e-15 -1.99795529992213e-15        0.000000     1.2691
NRCA5_MASK335R                 Sci2IdlX50  4.70678684728641e-18 4.706794437445568e-18        0.000000     0.0002
NRCA5_MASK335R                 Sci2IdlX51 4.794938735253773e-19 4.798931079366046e-19        0.000000     0.0832
NRCA5_MASK335R                 Sci2IdlX52 9.530386138107897e-18 9.530432558167506e-18        0.000000     0.0005
NRCA5_MASK335R                 Sci2IdlX53 4.987433974063443e-19 4.994802147989882e-19        0.000000     0.1475
NRCA5_MASK335R                 Sci2IdlX54 4.716051751384181e-18  4.71608969952068e-18        0.000000     0.0008
NRCA5_MASK335R                 Sci2IdlX55 3.649072287332077e-20 3.682444441156614e-20        0.000000     0.9063
NRCA5_MASK335R                 Sci2IdlY10 -0.0001256398124660517 -0.0001256887841932605        0.000000     0.0390
NRCA5_MASK335R                 Sci2IdlY11   0.06258409885547012   0.06258191291662332        0.000002     0.0035
NRCA5_MASK335R                 Sci2IdlY20 3.709969507445031e-07 3.715542819328128e-07        0.000000     0.1500
NRCA5_MASK335R                 Sci2IdlY21 1.461004834252701e-07 1.469436264684384e-07        0.000000     0.5738
NRCA5_MASK335R                 Sci2IdlY22 -2.255521438435443e-07 -2.234542874472467e-07        0.000000     0.9301
NRCA5_MASK335R                 Sci2IdlY30 -6.729266821530328e-12 -6.682222694730823e-12        0.000000     0.6991
NRCA5_MASK335R                 Sci2IdlY31 1.012546986861132e-10 1.013954763909998e-10        0.000000     0.1388
NRCA5_MASK335R                 Sci2IdlY32 -1.656217523335945e-11 -1.648996997516661e-11        0.000000     0.4360
NRCA5_MASK335R                 Sci2IdlY33 1.111449985767556e-10 1.114335321383266e-10        0.000000     0.2589
NRCA5_MASK335R                 Sci2IdlY40 4.655466370057445e-15 4.692867415132778e-15        0.000000     0.7970
NRCA5_MASK335R                 Sci2IdlY41 -6.057345242938064e-15 -5.94449788960161e-15        0.000000     1.8630
NRCA5_MASK335R                 Sci2IdlY42 1.756499954762609e-14 1.776481238703335e-14        0.000000     1.1248
NRCA5_MASK335R                 Sci2IdlY43 -5.001877358596624e-15 -4.892111868054863e-15        0.000000     2.1945
NRCA5_MASK335R                 Sci2IdlY44 1.196285571024091e-14 1.210885529679863e-14        0.000000     1.2057
NRCA5_MASK335R                 Sci2IdlY50 1.004894431198018e-19 1.001332991483016e-19        0.000000     0.3544
NRCA5_MASK335R                 Sci2IdlY51 5.276291063825245e-18 5.276254767342593e-18        0.000000     0.0007
NRCA5_MASK335R                 Sci2IdlY52 6.138470179122002e-19 6.131258900581763e-19        0.000000     0.1175
NRCA5_MASK335R                 Sci2IdlY53 9.737780817259323e-18 9.737743051470625e-18        0.000000     0.0004
NRCA5_MASK335R                 Sci2IdlY54 5.017001335702438e-19 5.013432874120738e-19        0.000000     0.0711
NRCA5_MASK335R                 Idl2SciX00  -0.01477080780200168  -0.01454914130441054        0.000222     1.5007
NRCA5_MASK335R                 Idl2SciX10     16.05108687861382     16.05206178919579        0.000975     0.0061
NRCA5_MASK335R                 Idl2SciX11 4.863250380661432e-05 5.352484517184147e-05        0.000005     9.1403
NRCA5_MASK335R                 Idl2SciX20 -2.08590563537628e-05 -2.682041601284263e-05        0.000006    22.2269
NRCA5_MASK335R                 Idl2SciX21  0.002439300380013254  0.002434424423299329        0.000005     0.1999
NRCA5_MASK335R                 Idl2SciX22 0.0005675811031018981 0.0005658280239660549        0.000002     0.3089
NRCA5_MASK335R                 Idl2SciX30 -6.908079342643805e-06 -6.904022566712749e-06        0.000000     0.0587
NRCA5_MASK335R                 Idl2SciX31  7.61134705799092e-07  7.56056748286668e-07        0.000000     0.6672
