# MIRI aperture definition file for SIAF
#
# This file contains all the necessary aperture information to generate the full SIAF given the necessary reference files (focal plane alignment, distortion) and auxiliary information (DDC mapping, wedge offsets, ...)
# This file also defines the order in which the apertures are presented.
#
# Imager/LRS information is based on FLT-1 reference file: MIRI_FM_MIRIMAGE_DISTORTION_SS.04.00.fits
#
# Note that V3IdlYAngle will be populated automatically for 'None', or overridden with values specified here.
#
# Subarray locations are updated 2022-04-29 by D. Law based on new information from M. Ressler (JSOCOPS-97)
# Updated Coron centers 2022-10-03 by D. Law and M. Libralato (JSOCOPS-60)
# Added full-array versions of 1065,1140,1550,Lyot MASK apertures 2023-03-08 by D. Law (JSOCINT-614)
#
# MRS apertures, MIRIM_SLIT updated 2022-05-28 by D. Law based on FLT-1 distortion solution
# MRS apertures updated 2022-08-01 by D. Law based on FLT-3 distortion solution
#
# MRS
# Created  2022-08-01T16:22:15.905657
# Using program makesiaf_mrs.py
# Using input files:
# 1A : MIRI_FM_MIRIFUSHORT_12SHORT_DISTORTION_9B.05.07.fits
# 1B : MIRI_FM_MIRIFUSHORT_12MEDIUM_DISTORTION_9B.05.07.fits
# 1C : MIRI_FM_MIRIFUSHORT_12LONG_DISTORTION_9B.05.07.fits
# 2A : MIRI_FM_MIRIFUSHORT_12SHORT_DISTORTION_9B.05.07.fits
# 2B : MIRI_FM_MIRIFUSHORT_12MEDIUM_DISTORTION_9B.05.07.fits
# 2C : MIRI_FM_MIRIFUSHORT_12LONG_DISTORTION_9B.05.07.fits
# 3A : MIRI_FM_MIRIFULONG_34SHORT_DISTORTION_9B.05.07.fits
# 3B : MIRI_FM_MIRIFULONG_34MEDIUM_DISTORTION_9B.05.07.fits
# 3C : MIRI_FM_MIRIFULONG_34LONG_DISTORTION_9B.05.07.fits
# 4A : MIRI_FM_MIRIFULONG_34SHORT_DISTORTION_9B.05.07.fits
# 4B : MIRI_FM_MIRIFULONG_34MEDIUM_DISTORTION_9B.05.07.fits
# 4C : MIRI_FM_MIRIFULONG_34LONG_DISTORTION_9B.05.07.fits
             AperName ,  AperType , V3IdlYAngle , VIdlParity ,  XDetRef ,  YDetRef ,  XSciSize ,  YSciSize , XCorner , YCorner , XSciRef , YSciRef , parent_apertures , dependency_type ,   SliceName ,  SliceNum ,     v2ref ,     v3ref ,      v2ll ,      v2ul ,      v2ur ,      v2lr ,      v3ll ,      v3ul ,      v3ur ,      v3lr
MIRIM_TASLITLESSPRISM ,       ROI ,    None     ,         -1 ,     38.5 ,    912.5 ,        48 ,        48 ,      15 ,     889 ,    24.5 ,    24.5 ,             None ,            None ,        None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None
      MIRIM_CORON1065 ,       ROI ,    None     ,         -1 ,  121.184 ,  133.116 ,       216 ,       216 ,      12 ,      25 , 110.184 , 109.116 ,             None ,            None ,        None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None
      MIRIM_CORON1140 ,       ROI ,    None     ,         -1 ,  120.748 ,  355.236 ,       216 ,       216 ,      12 ,     248 , 109.748 , 108.236 ,             None ,            None ,        None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None
      MIRIM_CORON1550 ,       ROI ,    None     ,         -1 ,  120.746 ,  576.289 ,       216 ,       216 ,      12 ,     469 , 109.746 , 108.289 ,             None ,            None ,        None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None
      MIRIM_CORONLYOT ,       ROI ,    None     ,         -1 ,  144.331 ,  885.880 ,       272 ,       272 ,       6 ,     749 , 139.331 , 137.880 ,             None ,            None ,        None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None
          MIRIM_KNIFE ,       ROI ,    None     ,         -1 ,   385.94 ,   350.35 ,        58 ,        64 ,     360 ,     318 ,   26.94 ,   33.35 ,             None ,            None ,        None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None
        MIRIM_FP1MIMF ,   FULLSCA ,    None     ,         -1 ,    511.0 ,    510.0 ,      1032 ,      1024 ,       1 ,       1 ,   511.0 ,   510.0 ,             None ,            None ,        None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None
        MIRIM_FP2MIMF ,   FULLSCA ,    None     ,         -1 ,    924.0 ,    100.0 ,      1032 ,      1024 ,       1 ,       1 ,   924.0 ,   100.0 ,             None ,            None ,        None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None
        MIRIM_FP3MIMF ,   FULLSCA ,    None     ,         -1 ,    375.0 ,    100.0 ,      1032 ,      1024 ,       1 ,       1 ,   375.0 ,   100.0 ,             None ,            None ,        None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None
        MIRIM_FP4MIMF ,   FULLSCA ,    None     ,         -1 ,    374.0 ,    924.0 ,      1032 ,      1024 ,       1 ,       1 ,   374.0 ,   924.0 ,             None ,            None ,        None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None
        MIRIM_FP5MIMF ,   FULLSCA ,    None     ,         -1 ,    765.0 ,    761.0 ,      1032 ,      1024 ,       1 ,       1 ,   765.0 ,   761.0 ,             None ,            None ,        None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None ,      None
	   MIRIM_SLIT ,      SLIT ,    4.757970 ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        None ,      None ,  -414.878 ,  -400.568 ,  -412.546 ,  -412.503 ,  -417.211 ,  -417.253 ,  -401.018 ,  -400.505 ,  -400.117 ,  -400.631
     MIRIFU_CHANNEL1A ,  COMPOUND ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        None ,      None , -503.3780 , -318.9992 , -504.7148 , -505.2331 , -502.0372 , -501.5302 , -316.9323 , -320.5939 , -321.0913 , -317.3788
     MIRIFU_1ASLICE01 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        101A ,         1 , -503.1339 , -317.2435 , -504.7591 , -504.7838 , -501.4777 , -501.4536 , -316.9261 , -317.1004 , -317.5664 , -317.3896
     MIRIFU_1ASLICE02 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        102A ,         2 , -503.1583 , -317.4190 , -504.7797 , -504.8044 , -501.4829 , -501.4587 , -317.1010 , -317.2753 , -317.7460 , -317.5691
     MIRIFU_1ASLICE03 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        103A ,         3 , -503.1827 , -317.5946 , -504.8812 , -504.9059 , -501.5476 , -501.5235 , -317.2644 , -317.4387 , -317.9170 , -317.7402
     MIRIFU_1ASLICE04 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        104A ,         4 , -503.2071 , -317.7702 , -504.8852 , -504.9099 , -501.6268 , -501.6026 , -317.4416 , -317.6159 , -318.0860 , -317.9092
     MIRIFU_1ASLICE05 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        105A ,         5 , -503.2316 , -317.9458 , -504.8757 , -504.9004 , -501.6342 , -501.6101 , -317.6208 , -317.7951 , -318.2652 , -318.0884
     MIRIFU_1ASLICE06 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        106A ,         6 , -503.2560 , -318.1213 , -504.9173 , -504.9420 , -501.6106 , -501.5865 , -317.7927 , -317.9670 , -318.4489 , -318.2720
     MIRIFU_1ASLICE07 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        107A ,         7 , -503.2804 , -318.2969 , -504.9037 , -504.9284 , -501.6376 , -501.6135 , -317.9725 , -318.1469 , -318.6253 , -318.4485
     MIRIFU_1ASLICE08 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        108A ,         8 , -503.3048 , -318.4725 , -504.9359 , -504.9606 , -501.6647 , -501.6405 , -318.1458 , -318.3201 , -318.8017 , -318.6249
     MIRIFU_1ASLICE09 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        109A ,         9 , -503.3292 , -318.6480 , -504.9527 , -504.9774 , -501.6760 , -501.6519 , -318.3213 , -318.4956 , -318.9804 , -318.8036
     MIRIFU_1ASLICE10 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        110A ,        10 , -503.3536 , -318.8236 , -504.9904 , -505.0151 , -501.6979 , -501.6738 , -318.4937 , -318.6680 , -319.1576 , -318.9807
     MIRIFU_1ASLICE11 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        111A ,        11 , -503.3780 , -318.9992 , -505.0307 , -505.0553 , -501.7413 , -501.7172 , -318.6657 , -318.8400 , -319.3315 , -319.1547
     MIRIFU_1ASLICE12 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        112A ,        12 , -503.4024 , -319.1748 , -505.0715 , -505.0962 , -501.7448 , -501.7207 , -318.8376 , -319.0119 , -319.5114 , -319.3346
     MIRIFU_1ASLICE13 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        113A ,        13 , -503.4268 , -319.3503 , -505.0720 , -505.0967 , -501.7708 , -501.7466 , -319.0155 , -319.1898 , -319.6880 , -319.5112
     MIRIFU_1ASLICE14 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        114A ,        14 , -503.4513 , -319.5259 , -505.0928 , -505.1175 , -501.8184 , -501.7943 , -319.1904 , -319.3647 , -319.8613 , -319.6845
     MIRIFU_1ASLICE15 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        115A ,        15 , -503.4757 , -319.7015 , -505.0778 , -505.1025 , -501.8212 , -501.7971 , -319.3707 , -319.5451 , -320.0414 , -319.8645
     MIRIFU_1ASLICE16 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        116A ,        16 , -503.5001 , -319.8771 , -505.1410 , -505.1656 , -501.9005 , -501.8764 , -319.5392 , -319.7136 , -320.2098 , -320.0330
     MIRIFU_1ASLICE17 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        117A ,        17 , -503.5245 , -320.0526 , -505.1543 , -505.1790 , -501.8354 , -501.8113 , -319.7153 , -319.8896 , -320.4002 , -320.2234
     MIRIFU_1ASLICE18 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        118A ,        18 , -503.5489 , -320.2282 , -505.1343 , -505.1590 , -501.9204 , -501.8963 , -319.8964 , -320.0708 , -320.5678 , -320.3909
     MIRIFU_1ASLICE19 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        119A ,        19 , -503.5733 , -320.4038 , -505.1811 , -505.2058 , -501.8493 , -501.8252 , -320.0674 , -320.2417 , -320.7593 , -320.5824
     MIRIFU_1ASLICE20 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        120A ,        20 , -503.5977 , -320.5793 , -505.2085 , -505.2332 , -501.9206 , -501.8965 , -320.2413 , -320.4157 , -320.9288 , -320.7520
     MIRIFU_1ASLICE21 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        121A ,        21 , -503.6221 , -320.7549 , -505.2747 , -505.2994 , -501.8970 , -501.8729 , -320.4092 , -320.5835 , -321.1131 , -320.9362
     MIRIFU_CHANNEL1B ,  COMPOUND ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        None ,      None , -503.3306 , -319.1144 , -504.6622 , -505.1761 , -501.9995 , -501.4870 , -317.0646 , -320.6994 , -321.1834 , -317.5098
     MIRIFU_1BSLICE01 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        101B ,         1 , -503.0862 , -317.3743 , -504.6961 , -504.7206 , -501.4366 , -501.4122 , -317.0599 , -317.2329 , -317.6952 , -317.5202
     MIRIFU_1BSLICE02 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        102B ,         2 , -503.1107 , -317.5483 , -504.7627 , -504.7872 , -501.4487 , -501.4243 , -317.2270 , -317.4001 , -317.8720 , -317.6970
     MIRIFU_1BSLICE03 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        103B ,         3 , -503.1351 , -317.7223 , -504.8106 , -504.8351 , -501.5451 , -501.5207 , -317.3967 , -317.5698 , -318.0367 , -317.8618
     MIRIFU_1BSLICE04 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        104B ,         4 , -503.1595 , -317.8963 , -504.7783 , -504.8028 , -501.5397 , -501.5153 , -317.5778 , -317.7509 , -318.2159 , -318.0409
     MIRIFU_1BSLICE05 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        105B ,         5 , -503.1840 , -318.0703 , -504.8488 , -504.8733 , -501.6090 , -501.5846 , -317.7443 , -317.9174 , -318.3844 , -318.2095
     MIRIFU_1BSLICE06 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        106B ,         6 , -503.2084 , -318.2443 , -504.8029 , -504.8274 , -501.6041 , -501.5797 , -317.9274 , -318.1005 , -318.5636 , -318.3886
     MIRIFU_1BSLICE07 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        107B ,         7 , -503.2329 , -318.4183 , -504.8450 , -504.8695 , -501.6123 , -501.5879 , -318.0980 , -318.2710 , -318.7409 , -318.5659
     MIRIFU_1BSLICE08 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        108B ,         8 , -503.2573 , -318.5924 , -504.8335 , -504.8580 , -501.6397 , -501.6153 , -318.2762 , -318.4493 , -318.9154 , -318.7404
     MIRIFU_1BSLICE09 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        109B ,         9 , -503.2817 , -318.7664 , -504.8607 , -504.8852 , -501.6614 , -501.6370 , -318.4489 , -318.6220 , -319.0908 , -318.9158
     MIRIFU_1BSLICE10 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        110B ,        10 , -503.3062 , -318.9404 , -504.9067 , -504.9312 , -501.6069 , -501.5825 , -318.6189 , -318.7919 , -319.2772 , -319.1022
     MIRIFU_1BSLICE11 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        111B ,        11 , -503.3306 , -319.1144 , -504.9482 , -504.9726 , -501.6486 , -501.6242 , -318.7895 , -318.9625 , -319.4497 , -319.2747
     MIRIFU_1BSLICE12 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        112B ,        12 , -503.3550 , -319.2884 , -504.9741 , -504.9986 , -501.7384 , -501.7140 , -318.9623 , -319.1354 , -319.6151 , -319.4401
     MIRIFU_1BSLICE13 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        113B ,        13 , -503.3795 , -319.4624 , -505.0512 , -505.0757 , -501.7493 , -501.7249 , -319.1276 , -319.3007 , -319.7920 , -319.6171
     MIRIFU_1BSLICE14 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        114B ,        14 , -503.4039 , -319.6364 , -505.0575 , -505.0819 , -501.8096 , -501.7852 , -319.3033 , -319.4764 , -319.9617 , -319.7867
     MIRIFU_1BSLICE15 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        115B ,        15 , -503.4284 , -319.8104 , -505.0581 , -505.0826 , -501.7974 , -501.7730 , -319.4799 , -319.6530 , -320.1421 , -319.9671
     MIRIFU_1BSLICE16 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        116B ,        16 , -503.4528 , -319.9844 , -505.0522 , -505.0766 , -501.7883 , -501.7639 , -319.6575 , -319.8306 , -320.3220 , -320.1470
     MIRIFU_1BSLICE17 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        117B ,        17 , -503.4772 , -320.1584 , -505.0586 , -505.0831 , -501.8128 , -501.7884 , -319.8333 , -320.0064 , -320.4970 , -320.3220
     MIRIFU_1BSLICE18 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        118B ,        18 , -503.5017 , -320.3325 , -505.1174 , -505.1419 , -501.8240 , -501.7996 , -320.0012 , -320.1743 , -320.6740 , -320.4990
     MIRIFU_1BSLICE19 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        119B ,        19 , -503.5261 , -320.5065 , -505.1529 , -505.1774 , -501.8433 , -501.8189 , -320.1726 , -320.3457 , -320.8497 , -320.6748
     MIRIFU_1BSLICE20 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        120B ,        20 , -503.5506 , -320.6805 , -505.1677 , -505.1922 , -501.8325 , -501.8081 , -320.3471 , -320.5202 , -321.0301 , -320.8551
     MIRIFU_1BSLICE21 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        121B ,        21 , -503.5750 , -320.8545 , -505.2368 , -505.2613 , -501.9063 , -501.8819 , -320.5134 , -320.6864 , -321.1976 , -321.0226
     MIRIFU_CHANNEL1C ,  COMPOUND ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        None ,      None , -503.2892 , -318.8461 , -504.5904 , -505.1216 , -501.9471 , -501.4328 , -316.7861 , -320.4495 , -320.9349 , -317.2234
     MIRIFU_1CSLICE01 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        101C ,         1 , -503.0403 , -317.0903 , -504.5904 , -504.6157 , -501.3784 , -501.3539 , -316.7861 , -316.9606 , -317.4111 , -317.2343
     MIRIFU_1CSLICE02 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        102C ,         2 , -503.0652 , -317.2659 , -504.6719 , -504.6972 , -501.3939 , -501.3695 , -316.9528 , -317.1272 , -317.5891 , -317.4123
     MIRIFU_1CSLICE03 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        103C ,         3 , -503.0901 , -317.4415 , -504.7649 , -504.7902 , -501.4777 , -501.4532 , -317.1177 , -317.2921 , -317.7576 , -317.5808
     MIRIFU_1CSLICE04 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        104C ,         4 , -503.1149 , -317.6171 , -504.7611 , -504.7864 , -501.5265 , -501.5020 , -317.2962 , -317.4705 , -317.9309 , -317.7542
     MIRIFU_1CSLICE05 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        105C ,         5 , -503.1398 , -317.7926 , -504.7726 , -504.7979 , -501.5552 , -501.5307 , -317.4725 , -317.6469 , -318.1071 , -317.9303
     MIRIFU_1CSLICE06 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        106C ,         6 , -503.1647 , -317.9682 , -504.7819 , -504.8072 , -501.5411 , -501.5166 , -317.6492 , -317.8236 , -318.2893 , -318.1126
     MIRIFU_1CSLICE07 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        107C ,         7 , -503.1896 , -318.1438 , -504.8121 , -504.8374 , -501.5591 , -501.5346 , -317.8229 , -317.9973 , -318.4670 , -318.2902
     MIRIFU_1CSLICE08 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        108C ,         8 , -503.2145 , -318.3194 , -504.7962 , -504.8215 , -501.5792 , -501.5548 , -318.0032 , -318.1776 , -318.6444 , -318.4676
     MIRIFU_1CSLICE09 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        109C ,         9 , -503.2394 , -318.4950 , -504.8624 , -504.8877 , -501.6164 , -501.5919 , -318.1717 , -318.3461 , -318.8193 , -318.6426
     MIRIFU_1CSLICE10 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        110C ,        10 , -503.2643 , -318.6705 , -504.8696 , -504.8949 , -501.6326 , -501.6081 , -318.3487 , -318.5231 , -318.9973 , -318.8205
     MIRIFU_1CSLICE11 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        111C ,        11 , -503.2892 , -318.8461 , -504.9176 , -504.9429 , -501.6800 , -501.6555 , -318.5198 , -318.6942 , -319.1707 , -318.9940
     MIRIFU_1CSLICE12 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        112C ,        12 , -503.3141 , -319.0217 , -504.9646 , -504.9899 , -501.6658 , -501.6414 , -318.6911 , -318.8654 , -319.3532 , -319.1764
     MIRIFU_1CSLICE13 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        113C ,        13 , -503.3390 , -319.1973 , -504.9844 , -505.0097 , -501.6703 , -501.6458 , -318.8662 , -319.0406 , -319.5329 , -319.3561
     MIRIFU_1CSLICE14 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        114C ,        14 , -503.3639 , -319.3729 , -504.9949 , -505.0202 , -501.7364 , -501.7119 , -319.0428 , -319.2172 , -319.7035 , -319.5268
     MIRIFU_1CSLICE15 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        115C ,        15 , -503.3888 , -319.5484 , -504.9820 , -505.0073 , -501.7384 , -501.7139 , -319.2229 , -319.3973 , -319.8836 , -319.7068
     MIRIFU_1CSLICE16 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        116C ,        16 , -503.4137 , -319.7240 , -505.0438 , -505.0691 , -501.8207 , -501.7962 , -319.3919 , -319.5663 , -320.0518 , -319.8750
     MIRIFU_1CSLICE17 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        117C ,        17 , -503.4386 , -319.8996 , -505.0574 , -505.0827 , -501.7669 , -501.7424 , -319.5680 , -319.7424 , -320.2403 , -320.0635
     MIRIFU_1CSLICE18 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        118C ,        18 , -503.4635 , -320.0752 , -505.0556 , -505.0810 , -501.8311 , -501.8066 , -319.7465 , -319.9209 , -320.4111 , -320.2343
     MIRIFU_1CSLICE19 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        119C ,        19 , -503.4884 , -320.2508 , -505.0885 , -505.1138 , -501.7817 , -501.7572 , -319.9197 , -320.0942 , -320.5990 , -320.4222
     MIRIFU_1CSLICE20 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        120C ,        20 , -503.5133 , -320.4263 , -505.1018 , -505.1271 , -501.8604 , -501.8359 , -320.0960 , -320.2704 , -320.7676 , -320.5908
     MIRIFU_1CSLICE21 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        121C ,        21 , -503.5382 , -320.6019 , -505.1539 , -505.1792 , -501.8348 , -501.8103 , -320.2663 , -320.4407 , -320.9520 , -320.7752
     MIRIFU_CHANNEL2A ,  COMPOUND ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        None ,      None , -503.4653 , -319.2868 , -505.0826 , -505.8030 , -501.8256 , -501.1089 , -316.6272 , -321.3771 , -321.9206 , -317.2281
     MIRIFU_2ASLICE01 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        201A ,         1 , -503.1272 , -317.0650 , -505.0826 , -505.1250 , -501.1161 , -501.0740 , -316.6272 , -316.9066 , -317.5094 , -317.2334
     MIRIFU_2ASLICE02 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        202A ,         2 , -503.1694 , -317.3427 , -505.2089 , -505.2513 , -501.1080 , -501.0658 , -316.8940 , -317.1735 , -317.7929 , -317.5169
     MIRIFU_2ASLICE03 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        203A ,         3 , -503.2117 , -317.6204 , -505.2170 , -505.2594 , -501.1672 , -501.1251 , -317.1786 , -317.4581 , -318.0663 , -317.7903
     MIRIFU_2ASLICE04 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        204A ,         4 , -503.2540 , -317.8982 , -505.2779 , -505.3203 , -501.1986 , -501.1565 , -317.4553 , -317.7348 , -318.3439 , -318.0679
     MIRIFU_2ASLICE05 ,      SLIT ,          0. ,         -1 ,     None ,     None ,      None ,      None ,    None ,    None ,    None ,    None ,             None ,            None ,        205A ,         5 , -503.2962 , -318.1759 , -505.2956 , -505.3380 , -501.2389 , -501.1968 , -317.7384 , -318.0179 , -318.6201 , -318.3442
