# NIRCam grism parameter definition file for SIAF
# 
# This file contains the grism parameters.
# 
# Generated 2021-03-24T19:11:51.911 utc
# by gennaro
# 
              aperture_name ,   X1 ,   X2 ,   X3 ,   X4 ,   Y1 ,   Y2 ,   Y3 ,   Y4 ,     DX1 ,     DX2 ,     DX3 ,     DX4 ,     DY1 ,     DY2 ,     DY3 ,     DY4
 NRCA5_GRISMC_WFSS_F300M_CS ,    5 ,    5 , 2044 , 2044 , 1131 , 2698 , 2698 , 1131 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   106.5 ,  1673.5 ,  1673.5 ,   106.5
 NRCB5_GRISMC_WFSS_F300M_CS ,    5 ,    5 , 2044 , 2044 , 1131 , 2698 , 2698 , 1131 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -106.5 , -1673.5 , -1673.5 ,  -106.5
NRCA5_GRISMC_WFSS_F322W2_CS ,    5 ,    5 , 2044 , 2044 , 1517 , 1895 , 1895 , 1517 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   492.5 ,   870.5 ,   870.5 ,   492.5
NRCB5_GRISMC_WFSS_F322W2_CS ,    5 ,    5 , 2044 , 2044 , 1517 , 1895 , 1895 , 1517 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -492.5 ,  -870.5 ,  -870.5 ,  -492.5
 NRCA5_GRISMC_WFSS_F335M_CS ,    5 ,    5 , 2044 , 2044 ,  792 , 2370 , 2370 ,  792 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -232.5 ,  1345.5 ,  1345.5 ,  -232.5
 NRCB5_GRISMC_WFSS_F335M_CS ,    5 ,    5 , 2044 , 2044 ,  792 , 2370 , 2370 ,  792 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   232.5 , -1345.5 , -1345.5 ,   232.5
 NRCA5_GRISMC_WFSS_F356W_CS ,    5 ,    5 , 2044 , 2044 ,  834 , 1937 , 1937 ,  834 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -190.5 ,   912.5 ,   912.5 ,  -190.5
 NRCB5_GRISMC_WFSS_F356W_CS ,    5 ,    5 , 2044 , 2044 ,  834 , 1937 , 1937 ,  834 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   190.5 ,  -912.5 ,  -912.5 ,   190.5
 NRCA5_GRISMC_WFSS_F360M_CS ,    5 ,    5 , 2044 , 2044 ,  549 , 2108 , 2108 ,  549 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -475.5 ,  1083.5 ,  1083.5 ,  -475.5
 NRCB5_GRISMC_WFSS_F360M_CS ,    5 ,    5 , 2044 , 2044 ,  549 , 2108 , 2108 ,  549 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   475.5 , -1083.5 , -1083.5 ,   475.5
